sigma,mean_cv,std_cv,mean_spike_count,std_spike_count
0.0,,,0.0,0.0
0.01,,,0.0,0.0
0.02,,,0.0,0.0
0.03,,,0.0,0.0
0.04,,,0.0,0.0
0.05,,,0.0,0.0
0.06,,,0.0,0.0
0.07,,,0.13333333333333333,0.42687494916218993
0.08,,,0.5,0.7187952884282609
0.09,0.7493546362501801,0.33473430067890025,1.8,1.2754084313139329
0.1,0.9110583507656751,0.11453031983322813,2.966666666666667,1.9405039437103846
0.11,0.8106888158388722,0.21702295092808677,4.566666666666666,1.9947152400502908
0.12,0.8109059112756061,0.22735031476768072,7.133333333333334,2.6674998698323407
0.13,0.9092606947281173,0.20779574589528996,8.266666666666667,2.2350739485653612
0.14,0.8494975538533983,0.1630411231409039,11.033333333333333,2.949387883763153
0.15,0.8139166142184907,0.17316391673226514,12.866666666666667,2.895206766747795
0.16,0.8468100088786135,0.14926694223722312,15.433333333333334,3.527825896434737
0.17,0.7733108343013112,0.11803426953326397,15.1,3.23882694814033
0.18,0.7972108162674817,0.18086707703831248,16.733333333333334,3.129785225148134
0.19,0.7392998385560734,0.13046335364913755,19.933333333333334,2.9431653406192155
0.2,0.7587149824554559,0.1323748596614038,20.4,2.950706130177431
0.21,0.735080251092498,0.10092505826742305,21.233333333333334,2.777088803445475
0.22,0.690025700365663,0.08810309688352294,23.566666666666666,3.392966581359478
0.23,0.6737375820086313,0.08585989280250347,23.333333333333332,2.3990738953928776
0.24,0.7119102300687883,0.0929888487147351,25.033333333333335,2.6265736024122543
0.25,0.7039551604139118,0.06959568685274121,26.066666666666666,3.492213560989012
0.26,0.6605587942782613,0.06812254998329562,27.566666666666666,3.137762826530322
0.27,0.6662183246383591,0.07172685003630899,27.333333333333332,3.1019706997684904
0.28,0.6707177275381248,0.0573673277780907,28.533333333333335,2.9295430056959777
0.29,0.6717724684824916,0.08649184320468521,28.8,2.0231987873991355
0.3,0.6571716730591727,0.06185979560164342,29.5,2.8136571693556887
0.31,0.6390602569043442,0.06701015259828068,30.533333333333335,2.4864074931962024
0.32,0.6448430095230181,0.06514403269004582,32.43333333333333,2.871507540570903
0.33,0.6460047898520944,0.0826288460698296,32.0,2.280350850198276
0.34,0.6305526181684554,0.058096495128748156,32.7,2.6975297341580258
0.35000000000000003,0.6364168480196895,0.06997460367019853,34.03333333333333,3.0384572108591925
0.36,0.6364117367161463,0.0418418267800634,34.266666666666666,3.414999593297519
0.37,0.6131361555925051,0.05312626128079054,34.46666666666667,2.499777767900356
0.38,0.6352674071675817,0.05649579649993464,35.7,2.911471563774352
0.39,0.620756496214652,0.05403194323266277,36.4,3.028751117760146
0.4,0.6187700394975408,0.04503524027736943,36.233333333333334,3.0186457596449148
0.41000000000000003,0.6219078844488313,0.040564246643283404,38.06666666666667,3.1191166840772224
0.42,0.6233728854165039,0.04533605846432803,37.6,3.1262330900515614
0.43,0.614973790191414,0.046895606126136434,38.53333333333333,3.1488975142985445
0.44,0.6231846656591704,0.05877624008740253,38.666666666666664,2.467567403109566
0.45,0.6160030073717538,0.047676619870650645,40.43333333333333,2.728654532101042
0.46,0.6250004108682607,0.045870108514153414,40.96666666666667,2.6265736024122543
0.47000000000000003,0.6066879699304797,0.050417764056647836,41.86666666666667,2.591438896743574
0.48,0.6121704232566063,0.04424742224041682,41.9,3.428799595582493
0.49,0.6264477461107046,0.05017502100988101,41.43333333333333,2.4857370916669543
0.5,0.6284006325756744,0.03916524261183107,42.93333333333333,3.7142368739157647
0.51,0.6324832326410087,0.05256122879329415,42.36666666666667,3.833912999650473
0.52,0.6168903562716779,0.03488508808507987,43.766666666666666,3.2627527573439514
0.53,0.6171254136322888,0.05269771488395125,44.86666666666667,3.0521395046025592
0.54,0.6165258639411548,0.04054529838038487,44.4,2.8589042189855425
0.55,0.6060274553221935,0.03323241398662503,45.2,2.454927018602929
0.56,0.6261598367577003,0.051936862826135854,45.3,3.0999999999999996
0.5700000000000001,0.6076193917845372,0.037410281087446234,47.36666666666667,3.6831447915545694
0.58,0.6032357167424155,0.03215008301045271,47.8,2.6381811916545836
0.59,0.6135144707790452,0.04419808384744934,48.7,4.212283624512164
0.6,0.6151442612507823,0.03499379900322193,49.13333333333333,2.3626726862225795
0.61,0.6243685523954817,0.0435227117231021,48.266666666666666,3.0976693747970514
0.62,0.6121880325610369,0.03471804489307836,50.9,3.3401596768218527
0.63,0.614485291375715,0.0359274059373388,50.4,2.6280537792569363
0.64,0.6108822745839625,0.045471182106002636,51.46666666666667,3.1169785940162553
0.65,0.6135060229160056,0.033359786900276196,50.6,2.7640549922170505
0.66,0.6093921938867571,0.046787575870370114,52.833333333333336,2.9786275736020142
0.67,0.6180660025284024,0.04236154564472691,52.333333333333336,4.221637386396683
0.68,0.6196893554054962,0.042926097193117296,53.43333333333333,3.963864556493097
0.6900000000000001,0.606794381057518,0.0383145771117485,54.233333333333334,3.556058992136598
0.7000000000000001,0.613463967030749,0.03163779273017669,55.233333333333334,2.8830924754891614
0.71,0.6029071674082308,0.04787015191104139,55.733333333333334,3.3259919155377125
0.72,0.6053097617772847,0.04176024194108371,55.56666666666667,3.4320385908216253
0.73,0.6050923641653082,0.04228914649644858,57.266666666666666,4.186751591495355
0.74,0.6125199116237011,0.044095635651090676,57.46666666666667,3.7214095298540966
0.75,0.6046168688026365,0.04603679249117292,57.833333333333336,3.1631559486619616
0.76,0.5995651159785993,0.03909493618570038,58.3,2.934280150224242
0.77,0.6109412969759799,0.039659200864059864,59.43333333333333,3.0186457596449143
0.78,0.5943202057527402,0.03296345980611778,60.06666666666667,3.4149995932975195
0.79,0.57905940592137,0.04395402096711798,58.96666666666667,5.154178455928311
0.8,0.617518128995922,0.04075042383977359,61.1,3.3100855980875585
0.81,0.5870990374938574,0.04530900982720113,60.8,3.229034943549956
0.8200000000000001,0.593847597051362,0.041274966916602505,61.4,3.4117444218463966
0.8300000000000001,0.5942960749350392,0.04117250150572,63.233333333333334,2.538809869910615
0.84,0.598202707347267,0.03727860922074423,63.06666666666667,4.114473099789193
0.85,0.5807577759611814,0.03695609125220255,64.3,3.377869150810907
0.86,0.5819576950842377,0.03848714412336131,65.8,3.1770006819850285
0.87,0.5887657975526667,0.04328386461783757,64.93333333333334,4.040901989517797
0.88,0.5868088203618845,0.040984725049679996,66.4,2.497999199359359
0.89,0.5769402930526805,0.03139156927356526,65.4,4.1036569057366385
0.9,0.5954889944449439,0.03532035908260832,67.0,3.4737107920301407
0.91,0.5820631686165227,0.04685740131500875,68.46666666666667,3.8447655614123235
0.92,0.5689139599971277,0.03538257897046006,68.56666666666666,3.383128072591335
0.93,0.5774460275666369,0.03973259409335963,68.56666666666666,3.4125585058069787
0.9400000000000001,0.5713243911723258,0.04131251530670301,69.06666666666666,3.395421754199159
0.9500000000000001,0.5751556747063898,0.031341453253026,69.4,4.071035904205874
0.96,0.5665912913541058,0.04020490322616199,71.1,3.552933060632206
0.97,0.5647267853706535,0.049585073169316575,72.43333333333334,4.7517248330357775
0.98,0.5649319703584188,0.03605664758533903,72.86666666666666,3.621540494810952
0.99,0.5632547888658171,0.03342293155073489,72.73333333333333,3.965966324729559
1.0,0.565046156601327,0.03330815505494921,74.3,4.172529209005013
